gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,gt_108,gt_109,gt_110,gt_111,gt_112,gt_113,gt_114,gt_115,gt_116,gt_117,gt_118,gt_119,gt_120,gt_121,gt_122,gt_123,gt_124,gt_125,gt_126,gt_127,gt_128,gt_129,gt_130,gt_131,gt_132,gt_133,gt_134,gt_135,gt_136,gt_137,gt_138,gt_139,gt_140,gt_141,gt_142,gt_143,gt_144,gt_145,gt_146,gt_147,gt_148,gt_149,gt_150,gt_151,gt_152,gt_153,gt_154,gt_155,gt_156,gt_157,gt_158,gt_159,gt_160,gt_161,gt_162,gt_163,gt_164,gt_165,gt_166,gt_167,gt_168,gt_169,gt_170,gt_171,gt_172,gt_173,gt_174,gt_175,gt_176,gt_177,gt_178,gt_179,gt_180,gt_181,gt_182,gt_183,gt_184,gt_185,gt_186,gt_187,gt_188,gt_189,gt_190,gt_191,gt_192,gt_193,gt_194,gt_195,gt_196,gt_197,gt_198,gt_199,gt_200,gt_201,gt_202,gt_203,gt_204,gt_205,gt_206,gt_207,gt_208,gt_209,gt_210,gt_211,gt_212,gt_213,gt_214,gt_215,gt_216,gt_217,gt_218,gt_219,gt_220,gt_221,gt_222,gt_223,gt_224,gt_225,gt_226,gt_227,gt_228,gt_229,gt_230,gt_231,gt_232,gt_233,gt_234,gt_235,gt_236,gt_237,gt_238,gt_239,gt_240,gt_241,gt_242,gt_243,gt_244,gt_245,gt_246,gt_247,gt_248,gt_249,gt_250,gt_251,gt_252,gt_253,gt_254,gt_255,gt_256,gt_257,gt_258,gt_259,gt_260,gt_261,gt_262,gt_263,gt_264,gt_265,gt_266,gt_267,gt_268,gt_269,gt_270,gt_271,gt_272,gt_273,gt_274,gt_275,gt_276,gt_277,gt_278,gt_279,gt_280,gt_281,gt_282,gt_283,gt_284,gt_285,gt_286,gt_287,gt_288,gt_289,gt_290,gt_291,gt_292,gt_293,gt_294,gt_295,gt_296,gt_297,gt_298,gt_299,gt_300,gt_301,gt_302,gt_303,gt_304,gt_305,gt_306,gt_307,gt_308,gt_309,gt_310,gt_311,gt_312,gt_313,gt_314,gt_315,gt_316,gt_317,gt_318,gt_319,gt_320,gt_321,gt_322,gt_323,gt_324,gt_325,gt_326,gt_327,gt_328,gt_329,gt_330,gt_331,gt_332,gt_333,gt_334,gt_335,gt_336,gt_337,gt_338,gt_339,gt_340,gt_341,gt_342,gt_343,gt_344,gt_345,gt_346,gt_347,gt_348,gt_349,gt_350,gt_351,gt_352,gt_353,gt_354,gt_355,gt_356,gt_357,gt_358,gt_359,gt_360,gt_361,gt_362,gt_363,gt_364,gt_365,gt_366,gt_367,gt_368,gt_369,gt_370,gt_371,gt_372,gt_373,gt_374,gt_375,gt_376,gt_377,ngay
76930,48843,41006,76053,77833,47386,77768,37997,13541,8261,8261,3990,8384,7358,1925,0958,1946,9108,8203,1335,938,896,778,93,91,60,54,71085,18328,78797,48541,46956,56008,54100,55367,39190,5382,5382,2316,9902,5825,7643,2127,0441,0554,6448,9387,138,764,484,49,41,71,25,78645,59320,60922,13571,98561,36592,08310,87527,69546,5148,5148,3989,1540,4501,7830,7306,3903,7908,8651,4668,702,963,616,54,12,11,48,74954,64284,86741,45640,49737,53910,37345,51290,51202,7745,7745,7307,1323,9995,8659,2794,5605,4643,3851,2769,026,826,606,22,62,04,33,28383,09696,00909,27455,68347,09492,25972,11031,26729,2599,2599,6455,7184,6040,6105,7900,3718,8382,4527,3104,179,158,828,40,60,01,89,97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,20220206
71085,18328,78797,48541,46956,56008,54100,55367,39190,5382,5382,2316,9902,5825,7643,2127,0441,0554,6448,9387,138,764,484,49,41,71,25,78645,59320,60922,13571,98561,36592,08310,87527,69546,5148,5148,3989,1540,4501,7830,7306,3903,7908,8651,4668,702,963,616,54,12,11,48,74954,64284,86741,45640,49737,53910,37345,51290,51202,7745,7745,7307,1323,9995,8659,2794,5605,4643,3851,2769,026,826,606,22,62,04,33,28383,09696,00909,27455,68347,09492,25972,11031,26729,2599,2599,6455,7184,6040,6105,7900,3718,8382,4527,3104,179,158,828,40,60,01,89,97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,20220207
78645,59320,60922,13571,98561,36592,08310,87527,69546,5148,5148,3989,1540,4501,7830,7306,3903,7908,8651,4668,702,963,616,54,12,11,48,74954,64284,86741,45640,49737,53910,37345,51290,51202,7745,7745,7307,1323,9995,8659,2794,5605,4643,3851,2769,026,826,606,22,62,04,33,28383,09696,00909,27455,68347,09492,25972,11031,26729,2599,2599,6455,7184,6040,6105,7900,3718,8382,4527,3104,179,158,828,40,60,01,89,97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,20220208
74954,64284,86741,45640,49737,53910,37345,51290,51202,7745,7745,7307,1323,9995,8659,2794,5605,4643,3851,2769,026,826,606,22,62,04,33,28383,09696,00909,27455,68347,09492,25972,11031,26729,2599,2599,6455,7184,6040,6105,7900,3718,8382,4527,3104,179,158,828,40,60,01,89,97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,20220209
28383,09696,00909,27455,68347,09492,25972,11031,26729,2599,2599,6455,7184,6040,6105,7900,3718,8382,4527,3104,179,158,828,40,60,01,89,97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,20220210
97132,87646,25260,21753,28002,83308,98610,04093,44259,3752,3752,6705,8678,4699,4697,8502,1413,4963,1700,8258,594,825,198,62,67,77,25,20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,23768,75954,21719,51338,75589,70894,99539,46559,23153,3767,3767,5645,9723,3995,3924,1418,7303,3767,4399,5092,838,117,334,65,33,75,81,20220211
20653,56333,40038,34350,96331,94252,45089,47136,73920,5521,5521,5976,3423,6058,6515,0744,5366,9798,2399,6968,024,059,767,97,89,00,05,98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,23768,75954,21719,51338,75589,70894,99539,46559,23153,3767,3767,5645,9723,3995,3924,1418,7303,3767,4399,5092,838,117,334,65,33,75,81,49104,71453,56991,37737,46192,59141,34420,50284,60323,1424,1424,5115,9227,6350,9941,3387,5661,4467,5998,8365,860,727,313,64,24,57,53,20220212
98409,61525,04729,15344,99637,27607,54052,79037,87494,9685,9685,3585,8401,9944,2343,8963,6818,6319,9068,7270,924,747,122,71,92,43,55,16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,23768,75954,21719,51338,75589,70894,99539,46559,23153,3767,3767,5645,9723,3995,3924,1418,7303,3767,4399,5092,838,117,334,65,33,75,81,49104,71453,56991,37737,46192,59141,34420,50284,60323,1424,1424,5115,9227,6350,9941,3387,5661,4467,5998,8365,860,727,313,64,24,57,53,85672,12634,82668,43280,35547,44127,32685,12715,46627,2508,2508,1327,3187,9628,7077,0872,4571,0074,8549,2776,720,565,926,54,97,92,01,20220213
16440,64351,31055,80371,49994,58565,01658,91439,28870,0349,0349,9321,0866,1740,2214,4528,9328,5316,2625,0233,801,922,679,47,76,01,71,83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,23768,75954,21719,51338,75589,70894,99539,46559,23153,3767,3767,5645,9723,3995,3924,1418,7303,3767,4399,5092,838,117,334,65,33,75,81,49104,71453,56991,37737,46192,59141,34420,50284,60323,1424,1424,5115,9227,6350,9941,3387,5661,4467,5998,8365,860,727,313,64,24,57,53,85672,12634,82668,43280,35547,44127,32685,12715,46627,2508,2508,1327,3187,9628,7077,0872,4571,0074,8549,2776,720,565,926,54,97,92,01,82472,21337,28221,53677,38052,28728,29554,82944,75872,6771,6771,1978,4456,9858,1900,3925,6503,6500,9518,4372,105,363,838,93,76,39,21,20220214
83926,91357,14079,28422,18875,34660,74576,47998,24338,7074,7074,7574,8417,7913,8128,5472,1208,9379,9779,0046,119,151,836,39,16,55,58,11699,54461,49501,99545,10616,29241,44969,55351,66918,7153,7153,8778,9953,9389,4796,5040,0122,6501,9640,1381,933,418,943,24,39,16,06,67466,25936,67114,14594,58230,84723,93762,84518,90668,7681,7681,0020,0777,0171,1398,5257,8364,2373,7512,0837,445,401,809,97,58,40,80,67147,53734,86249,72294,09607,16787,17869,94976,18683,0865,0865,3886,8886,6797,2959,2489,7808,6640,5032,4912,327,409,806,95,39,70,43,23184,05762,16743,02525,62414,35157,88697,58380,85562,2193,2193,2251,2865,9824,3062,8273,5780,0299,9274,2402,047,926,523,37,98,24,48,76101,88297,56861,23554,36827,78164,08016,55326,31733,0665,0665,4432,8410,8511,5460,3101,7585,4106,4340,4028,502,229,704,52,31,88,48,28958,15942,30612,36819,89847,56332,73799,66957,82871,1732,1732,7397,8652,9002,1053,6492,4591,0977,9654,8105,951,362,564,79,07,20,25,96534,58233,31050,09227,95291,69871,25663,51289,81639,5998,5998,9567,1719,1272,6835,4277,8141,6814,0511,4405,094,730,644,46,70,00,81,35498,24577,82122,87260,12105,64149,33455,78565,83697,4168,4168,0342,2756,1347,3333,7422,9354,2438,8856,5287,937,725,951,97,50,08,22,23768,75954,21719,51338,75589,70894,99539,46559,23153,3767,3767,5645,9723,3995,3924,1418,7303,3767,4399,5092,838,117,334,65,33,75,81,49104,71453,56991,37737,46192,59141,34420,50284,60323,1424,1424,5115,9227,6350,9941,3387,5661,4467,5998,8365,860,727,313,64,24,57,53,85672,12634,82668,43280,35547,44127,32685,12715,46627,2508,2508,1327,3187,9628,7077,0872,4571,0074,8549,2776,720,565,926,54,97,92,01,82472,21337,28221,53677,38052,28728,29554,82944,75872,6771,6771,1978,4456,9858,1900,3925,6503,6500,9518,4372,105,363,838,93,76,39,21,35862,81536,42128,27049,54898,35137,02958,66327,90173,5778,5778,0148,7963,0156,7334,4958,8800,1216,2377,2872,365,945,855,21,93,25,81,20220215
