gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
15170,80352,44755,49811,58713,70930,25967,78606,66935,9999,9999,8869,1713,0,2748,7707,7957,6535,0,0,393,098,811,22,57,01,11,65651,61304,07892,98671,64230,90823,99037,94250,59906,2679,2679,1898,2696,0,1643,3440,4944,0593,0,0,674,399,072,87,32,53,83,47407,81533,78949,62726,80143,74425,54662,04134,41474,8589,8589,8011,4682,0,9607,5191,8454,6208,0,0,576,684,160,95,26,00,01
65651,61304,07892,98671,64230,90823,99037,94250,59906,2679,2679,1898,2696,0,1643,3440,4944,0593,0,0,674,399,072,87,32,53,83,48070,42718,04059,71861,40356,28709,46642,32384,96564,7184,7184,5247,4166,0,9883,3743,9421,5798,0,0,428,805,852,87,73,82,20,16675,90747,75963,45656,14477,18865,92004,88600,10910,8346,8346,9850,5783,0,5589,6935,4039,3077,0,0,044,767,274,72,23,00,11
48070,42718,04059,71861,40356,28709,46642,32384,96564,7184,7184,5247,4166,0,9883,3743,9421,5798,0,0,428,805,852,87,73,82,20,47407,81533,78949,62726,80143,74425,54662,04134,41474,8589,8589,8011,4682,0,9607,5191,8454,6208,0,0,576,684,160,95,26,00,01,87613,12867,78738,89661,45429,85175,59073,94071,68626,0739,0739,6575,4357,0,0277,2668,9082,1289,0,0,912,043,089,53,25,93,04
47407,81533,78949,62726,80143,74425,54662,04134,41474,8589,8589,8011,4682,0,9607,5191,8454,6208,0,0,576,684,160,95,26,00,01,16675,90747,75963,45656,14477,18865,92004,88600,10910,8346,8346,9850,5783,0,5589,6935,4039,3077,0,0,044,767,274,72,23,00,11,81899,77538,78429,53671,06086,04538,74191,06530,19699,9653,9653,5768,9426,0,2120,3778,1681,8238,0,0,522,336,175,81,53,90,48
16675,90747,75963,45656,14477,18865,92004,88600,10910,8346,8346,9850,5783,0,5589,6935,4039,3077,0,0,044,767,274,72,23,00,11,87613,12867,78738,89661,45429,85175,59073,94071,68626,0739,0739,6575,4357,0,0277,2668,9082,1289,0,0,912,043,089,53,25,93,04,85954,36333,93030,88206,30343,58509,10376,68112,71002,4959,4959,0728,4673,0,9068,2780,4603,3969,0,0,206,721,969,98,73,99,83
87613,12867,78738,89661,45429,85175,59073,94071,68626,0739,0739,6575,4357,0,0277,2668,9082,1289,0,0,912,043,089,53,25,93,04,81899,77538,78429,53671,06086,04538,74191,06530,19699,9653,9653,5768,9426,0,2120,3778,1681,8238,0,0,522,336,175,81,53,90,48,66694,57576,24389,25329,55796,54006,50372,21815,73784,2338,2338,1385,1310,0,7014,4412,3989,5181,0,0,770,986,663,35,44,31,27
81899,77538,78429,53671,06086,04538,74191,06530,19699,9653,9653,5768,9426,0,2120,3778,1681,8238,0,0,522,336,175,81,53,90,48,85954,36333,93030,88206,30343,58509,10376,68112,71002,4959,4959,0728,4673,0,9068,2780,4603,3969,0,0,206,721,969,98,73,99,83,11997,00517,05075,81420,32640,87726,05906,30737,68842,5986,5986,7810,6802,0,6750,6595,6687,6973,0,0,944,903,461,86,13,01,56
85954,36333,93030,88206,30343,58509,10376,68112,71002,4959,4959,0728,4673,0,9068,2780,4603,3969,0,0,206,721,969,98,73,99,83,66694,57576,24389,25329,55796,54006,50372,21815,73784,2338,2338,1385,1310,0,7014,4412,3989,5181,0,0,770,986,663,35,44,31,27,86525,44901,84593,41385,36633,21757,58844,42857,75071,6162,6162,3193,9896,0,3956,9068,2152,1350,0,0,179,765,459,73,07,53,76
66694,57576,24389,25329,55796,54006,50372,21815,73784,2338,2338,1385,1310,0,7014,4412,3989,5181,0,0,770,986,663,35,44,31,27,11997,00517,05075,81420,32640,87726,05906,30737,68842,5986,5986,7810,6802,0,6750,6595,6687,6973,0,0,944,903,461,86,13,01,56,36080,10376,08147,41094,16986,14536,36224,36683,48769,4590,4590,7770,9681,0,1896,0707,6168,6961,0,0,302,133,442,70,36,52,38
11997,00517,05075,81420,32640,87726,05906,30737,68842,5986,5986,7810,6802,0,6750,6595,6687,6973,0,0,944,903,461,86,13,01,56,86525,44901,84593,41385,36633,21757,58844,42857,75071,6162,6162,3193,9896,0,3956,9068,2152,1350,0,0,179,765,459,73,07,53,76,78963,55549,62590,36988,16691,28564,00139,31309,30684,9694,9694,1414,3957,0,6719,9126,4959,2163,0,0,708,206,762,14,81,03,96
