gt_0,gt_1,gt_2,gt_3,gt_4,gt_5,gt_6,gt_7,gt_8,gt_9,gt_10,gt_11,gt_12,gt_13,gt_14,gt_15,gt_16,gt_17,gt_18,gt_19,gt_20,gt_21,gt_22,gt_23,gt_24,gt_25,gt_26,gt_27,gt_28,gt_29,gt_30,gt_31,gt_32,gt_33,gt_34,gt_35,gt_36,gt_37,gt_38,gt_39,gt_40,gt_41,gt_42,gt_43,gt_44,gt_45,gt_46,gt_47,gt_48,gt_49,gt_50,gt_51,gt_52,gt_53,gt_54,gt_55,gt_56,gt_57,gt_58,gt_59,gt_60,gt_61,gt_62,gt_63,gt_64,gt_65,gt_66,gt_67,gt_68,gt_69,gt_70,gt_71,gt_72,gt_73,gt_74,gt_75,gt_76,gt_77,gt_78,gt_79,gt_80,gt_81,gt_82,gt_83,gt_84,gt_85,gt_86,gt_87,gt_88,gt_89,gt_90,gt_91,gt_92,gt_93,gt_94,gt_95,gt_96,gt_97,gt_98,gt_99,gt_100,gt_101,gt_102,gt_103,gt_104,gt_105,gt_106,gt_107,kq_0,kq_1,kq_2,kq_3,kq_4,kq_5,kq_6,kq_7,kq_8,kq_9,kq_10,kq_11,kq_12,kq_13,kq_14,kq_15,kq_16,kq_17,kq_18,kq_19,kq_20,kq_21,kq_22,kq_23,kq_24,kq_25,kq_26
70,52,55,11,13,30,67,06,35,99,99,69,13,0,48,07,57,35,0,0,93,98,11,22,57,01,11,51,04,92,71,30,23,37,50,06,79,79,98,96,0,43,40,44,93,0,0,74,99,72,87,32,53,83,70,18,59,61,56,09,42,84,64,84,84,47,66,0,83,43,21,98,0,0,28,05,52,87,73,82,20,07,33,49,26,43,25,62,34,74,89,89,11,82,0,07,91,54,08,0,0,76,84,60,95,26,00,01,13,67,38,61,29,75,73,71,26,39,39,75,57,0,77,68,82,89,0,0,12,43,89,53,25,93,04
51,04,92,71,30,23,37,50,06,79,79,98,96,0,43,40,44,93,0,0,74,99,72,87,32,53,83,70,18,59,61,56,09,42,84,64,84,84,47,66,0,83,43,21,98,0,0,28,05,52,87,73,82,20,07,33,49,26,43,25,62,34,74,89,89,11,82,0,07,91,54,08,0,0,76,84,60,95,26,00,01,75,47,63,56,77,65,04,00,10,46,46,50,83,0,89,35,39,77,0,0,44,67,74,72,23,00,11,99,38,29,71,86,38,91,30,99,53,53,68,26,0,20,78,81,38,0,0,22,36,75,81,53,90,48
70,18,59,61,56,09,42,84,64,84,84,47,66,0,83,43,21,98,0,0,28,05,52,87,73,82,20,07,33,49,26,43,25,62,34,74,89,89,11,82,0,07,91,54,08,0,0,76,84,60,95,26,00,01,75,47,63,56,77,65,04,00,10,46,46,50,83,0,89,35,39,77,0,0,44,67,74,72,23,00,11,13,67,38,61,29,75,73,71,26,39,39,75,57,0,77,68,82,89,0,0,12,43,89,53,25,93,04,54,33,30,06,43,09,76,12,02,59,59,28,73,0,68,80,03,69,0,0,06,21,69,98,73,99,83
07,33,49,26,43,25,62,34,74,89,89,11,82,0,07,91,54,08,0,0,76,84,60,95,26,00,01,75,47,63,56,77,65,04,00,10,46,46,50,83,0,89,35,39,77,0,0,44,67,74,72,23,00,11,13,67,38,61,29,75,73,71,26,39,39,75,57,0,77,68,82,89,0,0,12,43,89,53,25,93,04,99,38,29,71,86,38,91,30,99,53,53,68,26,0,20,78,81,38,0,0,22,36,75,81,53,90,48,94,76,89,29,96,06,72,15,84,38,38,85,10,0,14,12,89,81,0,0,70,86,63,35,44,31,27
75,47,63,56,77,65,04,00,10,46,46,50,83,0,89,35,39,77,0,0,44,67,74,72,23,00,11,13,67,38,61,29,75,73,71,26,39,39,75,57,0,77,68,82,89,0,0,12,43,89,53,25,93,04,99,38,29,71,86,38,91,30,99,53,53,68,26,0,20,78,81,38,0,0,22,36,75,81,53,90,48,54,33,30,06,43,09,76,12,02,59,59,28,73,0,68,80,03,69,0,0,06,21,69,98,73,99,83,97,17,75,20,40,26,06,37,42,86,86,10,02,0,50,95,87,73,0,0,44,03,61,86,13,01,56
13,67,38,61,29,75,73,71,26,39,39,75,57,0,77,68,82,89,0,0,12,43,89,53,25,93,04,99,38,29,71,86,38,91,30,99,53,53,68,26,0,20,78,81,38,0,0,22,36,75,81,53,90,48,54,33,30,06,43,09,76,12,02,59,59,28,73,0,68,80,03,69,0,0,06,21,69,98,73,99,83,94,76,89,29,96,06,72,15,84,38,38,85,10,0,14,12,89,81,0,0,70,86,63,35,44,31,27,25,01,93,85,33,57,44,57,71,62,62,93,96,0,56,68,52,50,0,0,79,65,59,73,07,53,76
99,38,29,71,86,38,91,30,99,53,53,68,26,0,20,78,81,38,0,0,22,36,75,81,53,90,48,54,33,30,06,43,09,76,12,02,59,59,28,73,0,68,80,03,69,0,0,06,21,69,98,73,99,83,94,76,89,29,96,06,72,15,84,38,38,85,10,0,14,12,89,81,0,0,70,86,63,35,44,31,27,97,17,75,20,40,26,06,37,42,86,86,10,02,0,50,95,87,73,0,0,44,03,61,86,13,01,56,80,76,47,94,86,36,24,83,69,90,90,70,81,0,96,07,68,61,0,0,02,33,42,70,36,52,38
54,33,30,06,43,09,76,12,02,59,59,28,73,0,68,80,03,69,0,0,06,21,69,98,73,99,83,94,76,89,29,96,06,72,15,84,38,38,85,10,0,14,12,89,81,0,0,70,86,63,35,44,31,27,97,17,75,20,40,26,06,37,42,86,86,10,02,0,50,95,87,73,0,0,44,03,61,86,13,01,56,25,01,93,85,33,57,44,57,71,62,62,93,96,0,56,68,52,50,0,0,79,65,59,73,07,53,76,63,49,90,88,91,64,39,09,84,94,94,14,57,0,19,26,59,63,0,0,08,06,62,14,81,03,96
94,76,89,29,96,06,72,15,84,38,38,85,10,0,14,12,89,81,0,0,70,86,63,35,44,31,27,97,17,75,20,40,26,06,37,42,86,86,10,02,0,50,95,87,73,0,0,44,03,61,86,13,01,56,25,01,93,85,33,57,44,57,71,62,62,93,96,0,56,68,52,50,0,0,79,65,59,73,07,53,76,80,76,47,94,86,36,24,83,69,90,90,70,81,0,96,07,68,61,0,0,02,33,42,70,36,52,38,92,59,18,57,72,46,59,53,42,65,65,26,37,0,17,35,24,71,0,0,89,33,91,57,77,47,48
97,17,75,20,40,26,06,37,42,86,86,10,02,0,50,95,87,73,0,0,44,03,61,86,13,01,56,25,01,93,85,33,57,44,57,71,62,62,93,96,0,56,68,52,50,0,0,79,65,59,73,07,53,76,80,76,47,94,86,36,24,83,69,90,90,70,81,0,96,07,68,61,0,0,02,33,42,70,36,52,38,63,49,90,88,91,64,39,09,84,94,94,14,57,0,19,26,59,63,0,0,08,06,62,14,81,03,96,14,87,63,59,38,51,26,18,18,64,64,47,09,0,66,65,13,11,0,0,95,19,69,28,18,06,05
