ngay,ngay_thu,dacbiet,giainhat,giainhi_0,giainhi_1,giaiba_0,giaiba_1,giaiba_2,giaiba_3,giaiba_4,giaiba_5,giaitu_0,giaitu_1,giaitu_2,giaitu_3,giainam_0,giainam_1,giainam_2,giainam_3,giainam_4,giainam_5,giaisau_0,giaisau_1,giaisau_2,giaibay_0,giaibay_1,giaibay_2,giaibay_3
20020105,6,15170,80352,44755,49811,58713,70930,25967,78606,66935,9999,9999,8869,1713, ,2748,7707,7957,6535, , ,393,098,811,22,57,01,11
20020106,0,65651,61304,07892,98671,64230,90823,99037,94250,59906,2679,2679,1898,2696, ,1643,3440,4944,0593, , ,674,399,072,87,32,53,83
20020107,1,48070,42718,04059,71861,40356,28709,46642,32384,96564,7184,7184,5247,4166, ,9883,3743,9421,5798, , ,428,805,852,87,73,82,20
20020108,2,47407,81533,78949,62726,80143,74425,54662,04134,41474,8589,8589,8011,4682, ,9607,5191,8454,6208, , ,576,684,160,95,26,00,01
20020109,3,16675,90747,75963,45656,14477,18865,92004,88600,10910,8346,8346,9850,5783, ,5589,6935,4039,3077, , ,044,767,274,72,23,00,11
20020110,4,87613,12867,78738,89661,45429,85175,59073,94071,68626,0739,0739,6575,4357, ,0277,2668,9082,1289, , ,912,043,089,53,25,93,04
20020111,5,81899,77538,78429,53671,06086,04538,74191,06530,19699,9653,9653,5768,9426, ,2120,3778,1681,8238, , ,522,336,175,81,53,90,48
20020112,6,85954,36333,93030,88206,30343,58509,10376,68112,71002,4959,4959,0728,4673, ,9068,2780,4603,3969, , ,206,721,969,98,73,99,83
20020113,0,66694,57576,24389,25329,55796,54006,50372,21815,73784,2338,2338,1385,1310, ,7014,4412,3989,5181, , ,770,986,663,35,44,31,27
20020114,1,11997,00517,05075,81420,32640,87726,05906,30737,68842,5986,5986,7810,6802, ,6750,6595,6687,6973, , ,944,903,461,86,13,01,56
20020115,2,86525,44901,84593,41385,36633,21757,58844,42857,75071,6162,6162,3193,9896, ,3956,9068,2152,1350, , ,179,765,459,73,07,53,76
20020116,3,36080,10376,08147,41094,16986,14536,36224,36683,48769,4590,4590,7770,9681, ,1896,0707,6168,6961, , ,302,133,442,70,36,52,38
20020117,4,78963,55549,62590,36988,16691,28564,00139,31309,30684,9694,9694,1414,3957, ,6719,9126,4959,2163, , ,708,206,762,14,81,03,96
20020118,5,26892,85359,65918,44757,20172,47146,64259,89053,11542,2765,2765,5926,4737, ,4817,2335,0724,3271, , ,489,133,791,57,77,47,48
20020119,6,85114,05587,10763,24259,64538,50551,57726,58718,93118,1064,1064,4647,2509, ,6366,9765,7613,2611, , ,995,119,169,28,18,06,05
20020120,0,82892,87797,76965,26728,33583,21742,98059,22651,00815,4425,4425,4806,0478, ,8838,2501,1289,7774, , ,298,329,580,55,26,21,77
20020121,1,34605,06261,95610,22320,68810,75030,47719,22810,52596,0311,0311,9786,6385, ,5189,5060,8901,3755, , ,466,449,197,68,23,40,59
20020122,2,36123,41529,00528,23771,49547,70318,29294,55871,80222,6092,6092,8688,2599, ,3225,9725,8698,6210, , ,860,772,280,80,75,23,85
20020123,3,95375,84942,17790,60073,30906,32532,63477,65918,83107,5975,5975,9959,3509, ,7263,3461,7167,1843, , ,333,694,464,47,78,32,58
20020124,4,21631,51705,97856,09596,57020,95014,39226,03176,99965,2960,2960,2747,2906, ,0359,8697,5963,1989, , ,308,290,157,25,45,88,13
20020125,5,74392,91428,02542,89186,83664,32009,16367,62262,65383,0152,0152,1486,7814, ,7769,0675,4373,2753, , ,936,201,317,99,03,48,93
20020126,6,28322,71086,51674,43286,96411,11488,41292,66453,09125,2211,2211,0962,8854, ,7499,3487,7986,1925, , ,594,042,961,77,32,58,73
20020127,0,74052,05194,82102,88692,93469,17653,70758,30201,94418,6931,6931,3955,2166, ,7257,2265,8463,9914, , ,699,179,153,95,14,16,90
20020128,1,39159,37676,88331,43046,10415,17115,56724,57939,51287,3917,3917,2831,5261, ,4765,5113,5850,1425, , ,191,385,154,34,57,33,01
20020129,2,68334,07719,31293,45688,23320,96609,10698,26264,80642,6786,6786,2602,5920, ,8960,4127,9758,9235, , ,145,958,443,17,61,63,20
20020130,3,32241,18623,72986,98249,76222,16547,56688,78515,87483,7146,7146,9029,5351, ,2245,5902,6106,5099, , ,930,107,468,51,18,96,26
20020131,4,91742,64291,53806,03414,47112,71092,01170,35969,87761,4218,4218,5398,1837, ,1439,8383,0555,4850, , ,696,007,889,87,35,62,00
20020201,5,41809,06634,26637,66061,41253,26381,56866,72544,97575,9893,9893,9155,7587, ,5300,7971,2887,8980, , ,705,229,846,78,31,85,02
20020202,6,40400,49080,37242,40110,03781,91363,62845,43538,41426,0108,0108,9848,8902, ,3264,6748,4868,8662, , ,284,526,038,46,14,40,58
20020203,0,98256,84622,44024,20514,49838,25145,65447,47855,96318,8782,8782,2941,3168, ,8349,4587,5871,0426, , ,738,146,968,78,87,97,22
20020204,1,63414,76044,42925,89790,29972,94126,11417,18869,37117,6028,6028,8509,1427, ,7599,8993,5687,8321, , ,228,220,417,56,70,60,10
20020205,2,92524,85006,59478,22009,68417,19500,71909,65408,20425,2320,2320,6414,3856, ,2777,0029,3891,7055, , ,998,800,527,62,33,43,69
20020206,3,61884,17529,51577,26262,64830,70831,46732,40461,71642,3845,3845,2585,4157, ,1763,4057,2480,6132, , ,135,257,503,60,54,77,52
20020207,4,02200,08449,57773,98592,99920,70676,96737,15856,50850,0937,0937,0821,7179, ,8875,4366,2967,8848, , ,137,016,239,19,02,55,18
20020208,5,95965,87586,23098,61823,50457,64379,38208,72279,82293,8252,8252,1619,6326, ,4537,7709,2250,7931, , ,728,059,594,50,21,95,70
20020209,6,39699,00177,38836,24035,64408,54619,20076,08497,21510,4371,4371,7369,8987, ,1827,2517,3801,3146, , ,220,938,015,04,61,12,46
20020215,5,42649,32439,25475,86633,65178,80409,24238,20360,24838,5222,5222,6769,7027, ,5037,1830,4036,0020, , ,726,037,690,89,86,02,97
20020216,6,53144,43718,64170,88890,21481,95526,52142,37595,64355,7958,7958,7896,7720, ,0597,0466,3959,1294, , ,224,904,584,17,66,99,68
20020217,0,26450,87198,91381,71549,09224,96582,06835,82872,71080,8659,8659,3807,0157, ,0477,1103,6775,5055, , ,162,196,985,59,95,05,85
20020218,1,50388,77502,34527,92823,95589,88815,06109,43795,42168,4796,4796,8978,0647, ,4077,9122,8101,2311, , ,552,438,353,81,30,77,55
20020219,2,45406,59377,19114,27253,97021,14148,91508,88966,79329,2893,2893,9782,4933, ,7045,8071,3770,1609, , ,104,206,922,95,87,78,16
20020220,3,19170,62887,98634,18321,57656,74289,08335,14994,94398,4473,4473,5979,8646, ,6581,5462,0981,0695, , ,634,309,171,96,88,51,03
20020221,4,30315,44920,99905,02031,96639,49874,39244,10581,11351,0216,0216,8380,0348, ,8579,2446,0799,3818, , ,225,760,423,38,44,98,22
20020222,5,75903,25523,55323,30834,87675,58003,85280,83002,01763,3711,3711,8019,0801, ,1764,8323,7019,3947, , ,022,971,262,04,91,62,77
20020223,6,95575,40747,40206,63819,63975,54198,87189,18121,68478,0266,0266,7629,6748, ,4528,8459,9032,8638, , ,487,663,722,06,23,59,65
20020224,0,75141,51805,06254,96032,97932,84737,11310,10210,92306,0261,0261,2788,4101, ,3692,7140,8856,3435, , ,217,784,778,73,60,74,17
20020225,1,58827,16496,30555,84548,48765,40571,01067,03529,75754,0171,0171,3287,0499, ,7589,4335,8075,2328, , ,203,324,047,17,84,35,63
20020226,2,67209,23876,92280,03996,04824,11185,39547,24693,27309,7540,7540,9060,4097, ,7774,0621,5217,7918, , ,671,026,696,04,40,19,56
20020227,3,77930,93015,03763,03716,27581,92508,28168,61091,96779,6012,6012,6458,0106, ,4625,0905,2688,1183, , ,860,324,188,48,04,22,53
20020228,4,65621,31639,57104,49087,35720,70029,42300,35812,62058,7645,7645,3006,0385, ,9191,5924,9977,3219, , ,623,803,371,21,70,39,79
20020301,5,04144,38697,36320,51893,07098,21438,05489,59672,58758,7785,7785,2595,8843, ,9336,7293,3458,4544, , ,151,353,822,14,36,40,91
20020302,6,52726,44534,70909,37686,55026,82700,51158,24677,06021,1289,1289,7855,7446, ,1446,8124,5803,6323, , ,827,529,525,33,36,41,74
20020303,0,41355,42922,49651,80244,05099,64746,20757,73164,95141,5300,5300,6138,8458, ,7852,6772,5943,9593, , ,349,102,888,98,07,03,34
20020304,1,55928,56358,41630,70270,53751,95421,28938,68140,59373,7312,7312,1631,7917, ,3910,9680,9355,9281, , ,635,310,984,54,57,83,56
20020305,2,86110,97303,76636,50036,28392,58686,25332,02445,12261,3101,3101,4509,4369, ,8067,3209,8849,9481, , ,331,928,489,16,63,36,97
20020306,3,24464,00776,83476,69342,62209,26027,56228,42087,73974,4791,4791,5115,5840, ,7545,8768,0490,7522, , ,605,986,371,03,76,43,75
20020307,4,25240,09432,70620,48399,39028,52741,80193,83740,44398,7632,7632,0325,9225, ,6615,1773,2762,4200, , ,299,241,021,33,87,90,08
20020308,5,20796,09313,14614,98768,73981,73741,94682,59142,68491,6103,6103,3367,7238, ,4238,0566,8433,7104, , ,944,362,952,15,60,54,58
20020309,6,34197,70932,64369,22963,38254,87307,35185,66700,58757,5024,5024,1362,8409, ,3237,4552,4410,2172, , ,238,506,689,05,20,38,32
20020310,0,46057,04261,97057,14700,13103,75516,93010,69160,70188,6992,6992,3507,9713, ,0730,8020,5376,6681, , ,028,757,897,04,47,18,17
20020311,1,09630,21252,79944,16503,20234,79525,96839,19618,98343,7371,7371,9985,7016, ,4005,2540,4906,7987, , ,346,932,608,87,27,69,83
20020312,2,58410,65303,40430,78340,78986,30106,86959,80056,39257,9116,9116,5634,4774, ,9757,3683,5556,7887, , ,120,698,921,73,47,04,95
20020313,3,56921,99477,43069,63956,58759,90388,73875,02497,86892,8713,8713,0366,1484, ,5741,6835,1374,7060, , ,197,659,204,54,94,74,47
20020314,4,10761,73186,16421,31509,43055,15434,25271,01771,26340,0157,0157,5377,9354, ,6907,8835,0804,5031, , ,989,846,057,31,85,64,94
20020315,5,11889,90032,24317,83668,80014,27788,56688,61826,14996,2166,2166,7649,2236, ,3513,5215,5654,3416, , ,579,035,772,08,33,17,92
20020316,6,52596,21591,51569,59155,06788,73889,31169,82081,82107,5657,5657,4723,8907, ,4070,4618,7077,9095, , ,846,682,315,52,32,75,04
20020317,0,44180,09873,07563,64084,50791,60699,27984,53154,80393,9425,9425,8806,5838, ,8112,6942,4979,9101, , ,864,992,982,88,68,81,58
20020318,1,77855,57765,60922,97181,14651,41534,07644,90434,21571,9788,9788,0295,0715, ,8326,7112,6144,9360, , ,213,877,300,81,57,05,49
20020319,2,88049,69731,38366,59013,63326,54202,07861,49061,65775,2917,2917,6105,4519, ,3770,2510,6077,7735, , ,321,920,428,84,99,92,60
20020320,3,74016,01708,54807,01838,50965,36294,35304,24437,96112,0973,0973,9489,2140, ,8039,6898,8721,4910, , ,116,614,662,11,81,60,14
20020321,4,33845,93415,61517,07983,67376,70519,47662,39947,28636,1462,1462,9506,4134, ,9374,5661,0008,1931, , ,319,580,399,63,29,52,82
20020322,5,23521,90510,81950,76885,76703,53214,50903,44960,01753,7113,7113,3377,3723, ,5185,9294,8804,2234, , ,390,321,757,48,84,29,94
20020323,6,80139,22279,36051,79224,72616,34010,36947,18729,48497,9914,9914,2779,6046, ,4127,7052,0770,3073, , ,800,737,977,60,85,75,69
20020324,0,70220,39251,00154,98476,68335,95547,56810,11141,61899,3356,3356,6174,4769, ,3913,0280,3471,2143, , ,981,340,977,70,35,00,43
